Ticker,Nome,Negócios,Última (R$),Variação
SHUL4,Schulz,438,"4,92","-2,57%"
FIQE3,Unifique,431.2,"4,89","-1,41%"
PFRM3,Profarma,406.7,"8,48","-3,75%"
ORVR3,Orizon,390.7,"69,42","-0,72%"
BPAN4,Banco Pan,385.5,"11,21","-0,97%"
KLBN3,Klabin,371.8,"3,82","+0,26%"
MDIA3,M. Dias Branco,350.5,"23,86","-0,42%"
WIZC3,Wiz Soluções,344.6,"8,77","-1,68%"
MTRE3,Mitre Realty,328.6,"3,65","-1,88%"
LEVE3,Mahle Metal Leve,320.1,"33,50","-1,79%"
BLAU3,Blau Farmacêutica,300,"13,91","-1,00%"
BMOB3,Bemobi,298.9,"22,00","-3,13%"
BRBI11,BR Partners,285.5,"19,24","-3,80%"
VLID3,Valid,265.7,"21,03","-1,73%"
SAPR3,Sanepar,259.7,"8,93","+0,22%"
OPCT3,OceanPact,245.8,"8,28","-2,01%"
TGMA3,Tegma,231.5,"36,39","-1,62%"
UNIP6,Unipar,219,"58,19","+0,45%"
PRNR3,Priner,215.1,"15,93","+0,13%"
ITSA3,Itaúsa,206.1,"12,11","+1,00%"
USIM3,Usiminas,197.7,"5,97","+0,17%"
TASA4,Taurus,181.1,"4,71","+0,86%"
AGRO3,BrasilAgro,180.7,"19,80","-0,70%"
INEP3,Inepar,176.8,"1,59","+32,50%"
DEXP3,Dexxos,176.3,"7,85","-1,75%"
LUPA3,Lupatech,174.1,"0,93","-7,00%"
LPSB3,Lopes,169.1,"1,67","-4,02%"
MATD3,Mater Dei,168.4,"5,15","-2,09%"
OBTC3,CURSINHO INTERGRAUS S.A,164,"9,81","+0,20%"
MEAL3,IMC Alimentação,154.5,"1,25","-1,57%"
ENJU3,Enjoei,150.2,"1,04","-2,80%"
RNEW3,Renova Energia,148,"1,02","+8,51%"
RNEW4,Renova Energia,142.5,"0,92","+3,37%"
INEP4,Inepar,136.8,"1,18","+13,46%"
MNPR3,Minupar,136.6,"4,68","+1,74%"
IGTI3,Iguatemi,133.9,"2,93","-3,62%"
IGTI3,Jereissati Participações,133.9,"2,93","-3,62%"
ROMI3,Indústrias ROMI,118.2,"8,00","+1,65%"
BRAP3,Bradespar,114.1,"18,08","+1,29%"
SEQL3,Sequoia Logística,107.3,"2,50","-5,30%"
BRST3,Brisanet,105.8,"3,35","-1,18%"
SHOW3,Time For Fun,104.9,"6,09","+5,36%"
CMIG3,Cemig,92.8,"14,54","-1,09%"
ESPA3,Espaçolaser,87.8,"1,02","+2,00%"
TAEE4,Taesa,85.6,"14,15","+0,50%"
ALPK3,Estapar,78.3,"4,68","-2,70%"
CSUD3,CSU Cardsystem,75.8,"16,89","-0,35%"
TCSA3,Tecnisa,70.4,"1,12","-0,88%"
AMAR3,Lojas Marisa,68,"1,01","+0,00%"
TECN3,Technos,63.4,"7,00","-0,28%"
TAEE3,Taesa,61.7,"13,93","+0,22%"
PTBL3,Portobello,57.5,"3,21","+1,90%"
SANB4,Banco Santander,56.7,"17,12","-0,17%"
LAND3,Terra Santa,54.9,"8,83","+5,12%"
DMVF3,D1000 Varejo Farma,54.6,"6,50","-5,80%"
ETER3,Eternit,51.5,"4,09","-0,24%"
AMOB3,Automob,49.8,"12,93","+3,86%"
SANB3,Banco Santander,49.3,"16,46","+0,37%"
BMEB4,Banco Mercantil do Brasil,46.7,"65,00","-7,87%"
VITT3,Vittia,45.3,"4,61","+0,22%"
RAPT3,Randon,45.1,"5,74","-1,88%"
AALR3,Alliança,44.8,"4,65","-7,92%"
DEXP4,Dexxos,44.7,"7,82","-2,25%"
EUCA4,Eucatex,43.8,"17,78","-1,44%"
SCAR3,São Carlos,43,"13,51","-3,02%"
DOTZ3,Dotz,42.8,"4,50","+28,57%"
GOAU3,Metalúrgica Gerdau,40.1,"8,69","-0,46%"
VSTE3,LE LIS BLANC,31.8,"3,93","-0,51%"
UCAS3,Unicasa,30.3,"1,35","-4,26%"
EPAR3,Embpar Participações,27.8,"4,03","+0,00%"
LOGN3,Log-In,25.2,"33,60","-0,56%"
BIOM3,Biomm,23.5,"7,10","-1,66%"
