Raz„o Social;Fundo;CÛdigo
RB CAPITAL I FUNDO DE FUNDOS -RESPONSABILIDADE LIMITADA;FII RB CFOF;RFOF
REAL INVESTOR FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII REAL INV;RINV
RJDI FUNDO DE INVESTIMENTO IMOBILI¡RIO RESP LIMITADA;FII RJDA;RJDA
LABINA MULTI ATIVOS IMOBILI¡RIOS - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII REAGMULT;RMAI
REC MASTER FUNDO DE CRI COTAS AMORTIZ¡VEIS FII - RESPONSABILIDADE LIMITADA;FII RMBS;RMBS
RIO NEGRO FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII RIONEGRO;RNGO
FUNDO DE INVESTIMENTO IMOBILI¡RIO ROOFTOP I RESPONSABILIDADE LIMITADA;FII ROOFTOPI;ROOF
RBR PREMIUM RECEBÕVEIS IMOBILI¡RIOS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII RBR PR;RPRI
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL III FII - RESPONSABILIDADE LIMITADA;FII RBRESID3;RSPD
BRC-II FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII RTEL;RTEL
RIZA AKIN FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII RIZA AKN;RZAK
RIZA ARCTIUM REAL ESTATE FII - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII ARCTIUM;RZAT
RIZA LECCI FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII RZLC;RZLC
FUNDO DE INVESTIMENTO IMOBILI¡RIO RIZA TERRAX;FII RIZA TX;RZTR
RAIZZ DESENVOLVIMENTO II FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII RZZI;RZZI
RAIZZ RENDA LOGÕSTICA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII RZZR;RZZR
RAIZZ DESENVOLVIMENTO I FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII RESPONSABILIDADE LIMITADA;FII RZZV;RZZV
SANTANDER PAP…IS IMOBILI¡RIOS CDI FUNDO  DE INVESTIMENTO IMOBILI¡RIO - RESP LIMITADA;FII SANT PAP;SADI
FUNDO DE INVESTIMENTO IMOBILIARIO SIA CORPORATE RESPONSABILIDADE LIMITADA;FII SIA CORP;SAIC
V NUS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII VENUS;SALI
SANTANDER PAP…IS IMOBILI¡RIOS FUNDO DE  INVESTIMENTO IMOBILI¡RIO - RESP LIMITADA;FII SAPI;SAPI
SANTANDER RENDA DE ALUGU…IS FUNDO DE  INVESTIMENTO IMOBILI¡RIO - FII - RESP LIMITADA;FII SANT REN;SARE
SCP FII - RESPONSABILIDADE LIMITADA;FII SCP;SCPF
HEDGE SEED FUNDO DE INVESTIMENTO IMOBILIARIO DE RESPONSABILIDADE LIMITADA;FII HEDGE SD;SEED
SEQU”IA III RENDA IMOBILI¡RIA FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII SEQUOIA;SEQR
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII SHOPPING PARQUE D. PEDRO RESPONSABILIDADE LIMITADA;FII SHOP PDP;SHDP
RBR FLAGSHIP I FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII SHIP;SHIP
MULTI SHOPPINGS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII MULTSHOP;SHOP
SHOPPING P¡TIO HIGIEN”POLIS FUNDO DE INVESTIMENTO IMOBIL¡RIO DE RESPONSABILIDADE LIMITADA;FII HIGIENOP;SHPH
SHOPPING P¡TIO PAULISTA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE  LIMITADA;FII SHPP;SHPP
SJ AU LOGÕSTICA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII SJ AU;SJAU
LAV SLDZ DESENVOLVIMENTO IMOBILI¡RIO FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII LAV SLDZ;SLDZ
FUNDO DE INVESTIMENTO IMOBILI¡RIO SMART REAL ESTATE - FII RESPONSABILIDADE LIMITADA;FII SMRE;SMRE
SUNO RECEBÕVEIS IMOBILI¡RIOS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII SUNO CRI;SNCI
SUNO ENERGIAS LIMPAS FUNDO DE INVESTIMENTO IMOBILI¡RIO IS RESPONSABILIDADE LIMITADA;FII SUNO EL;SNEL
SUNO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILI¡RIO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE;FII SUNOFOFI;SNFF
SUNO LOG FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII SUNO LG;SNLG
SUNO MULTIESTRAT…GIA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII SNME;SNME
FUNDO DE INVESTIMENTO IMOBILI¡RIO SOFIA;FII SOFF;SOFF
SOLARIUM FII - FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII SOLARIUM;SOLR
SPA FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII SPA;SPAF
WHG FINVEST SP REALTY FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII WHG F SP;SPDE
SPGM II FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII SPG2;SPG2
SPGM FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII SPGM;SPGM
SUPREMO FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII SUPREMO;SPMO
SP DOWNTOWN FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII;FII SPTW PAX;SPTW
FUNDO DE INVESTIMENTO IMOBILI¡RIO SUCCESPAR VAREJO RESPONSABILIDADE LIMITADA;FII S VAREJO;SPVJ
SPX REAL ESTATE DESENVOLVIMENTO DE GALP’ES LOGÕSTICOS FEEDER PRIVATE FII RESPONSABILIDADE LIMITADA;FII SPXG;SPXG
SPX REAL ESTATE DESENVOLVIMENTO DE GALP’ES LOGÕSTICOS FEEDER INSTITUCIONAL FII RESP LIMITADA;FII SPXL;SPXL
SPX REAL ESTATE DESENVOLVIMENTO DE GALP’ES LOGÕSTICOS FEEDER BRADESCO FII RESPONSABILIDADE LIMITADA;FII SPXM;SPXM
SPX REAL ESTATE MULTIESTRAT…GIA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII SPX SYN;SPXS
STARX FUNDO DE INVESTIMENTO IMOBILI¡RIO FII RESPONSABILIDADE LIMITADA;FII STARX;STRX
STRIVO YIELD FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII STYI;STYI
SULAM…RICA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII SURE;SURE
G5 CIDADE NOVA FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII TOUR V;TCIN
TREECORP REAL ESTATE FII - RESPONSABILIDADE LIMITADA;FII TREECORP;TCPF
TELLUS DESENVOLVIMENTO LOGÕSTICO - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII TELLUS;TELD
TELLUS MULTIESTRAT…GIA - FII FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII TELM;TELM
TELLUS PROPERTIES - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII TEL PROP;TEPP
FUNDO DE INVESTIMENTO IMOBILI¡RIO TG ATIVO REAL;FII TG ATIVO;TGAR
FUNDO DE INVESTIMENTO IMOBILI¡RIO TG RENDA URBANA - RESPONSABILIDADE LIMITADA;FII TGRU;TGRU
TIVIO OPPORTUNITIES MASTER FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII TIOM;TIOM
TJK RENDA IMOBILI¡RIA FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII TJK REND;TJKB
ITA⁄ TEMPUS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII ITAU TEM;TMPS
RBR TOP OFFICES FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII TOPP;TOPP
TORDESILHAS EI FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII TORDE EI;TORD
TELLUS RIO BRAVO RENDA LOGÕSTICA FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII SDI LOG;TRBL
FUNDO DE INVESTIMENTO IMOBILI¡RIO TORRE RIO CLARO OFFICES - RESPONSABILIDADE LIMITADA;FII TRCO;TRCO
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII TORRE NORTE;FII TORRE NO;TRNT
TERRAS PAULISTAS FUNDO DE  INVESTIMENTO IMOBILI¡RIO DE PERMUTAS RESPONSABILIDADE LIMITADA;FII TRPL;TRPL
FUNDO DE INVESTIMENTO IMOBILI¡RIO TRUE MULTIESTRAT…GIA - RESPONSABILIDADE LIMITADA;FII TRUEMULT;TRUE
TRX REAL ESTATE II FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII TRX R II;TRXB
TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII TRX REAL;TRXF
TRX HEDGE FUND FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII TRXY;TRXY
TISHMAN SPEYER RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII TISHMAN;TSER
TRANSINC FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII TRANSINC;TSNC
TIVIO OPPORTUNITIES IPCA - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII TVOI;TVOI
TIVIO RENDA IMOBILI¡RIA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII TIVIO RI;TVRI
URCA HEDGE FUND ESTRAT…GIA IMOBILI¡RIA FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII URHF;URHF
URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII;FII URCA REN;URPR
VERA CRUZ CRI RESIDENCIAL HIGH GRADE - RESPONSABILIDADE LIMITADA;FII VCHG;VCHG
VECTIS JUROS REAL FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII VECTIS;VCJR
VINCI CREDIT SECURITIES FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII VINCI CR;VCRI
PATRIA RENDA RESIDENCIAL FUNDO DE  INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA I FII;FII VECT REN;VCRR
VERA CRUZ THREE FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII VCTH;VCTH
VIC DESENVOLVIMENTO VINTAGE 22/23 FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII VIC VIN;VDSV
FUNDO DE INVESTIMENTO IMOBILI¡RIO VEREDA - FII RESPONSABILIDADE LIMITADA;FII VEREDA;VERE
VALORA HEDGE FUND FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII VALOR HE;VGHF
VALORA CRI INFRA II FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII VGII;VGII
VALORA CRI ÕNDICE DE PRE«O FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII RESPONSABILIDADE LIMITADA;FII VALORAIP;VGIP
VALORA CRI CDI FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII RESPONSABILIDADE LIMITADA;FII VALREIII;VGIR
VALORA RENDA IMOBILI¡RIA FUNDO DE  INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII VGRI;VGRI
VIC DESENVOLVIMENTO - VINTAGE 20/21 FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII VIC DES;VIDS
VINCI LOGÕSTICA FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII VINCI LG;VILG
VINCI MOZAK RESIDENCIAL II FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII VIMO;VIMO
VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII VINCI OF;VINO
VINCI OPORTUNIDADES LOGÕSTICAS FII RESPONSABILIDADE LIMITADA;FII VIOL;VIOL
VINCI SHOPPING CENTERS FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII VINCI SC;VISC
VINCI IM”VEIS URBANOS FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE  LIMITADA;FII VINCI IU;VIUR
JFDCAM - FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII - RESPONSABILIDADE LIMITADA;FII JFDCAM;VJFD
VECTOR QUELUZ LAJES CORPORATIVAS FUNDO DE INVESTIMENTO IMOBILIARIO;FII VQ LAJES;VLJS
VINCI INSTRUMENTOS FINANCEIROS 3 FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII VIFI 3;VLQI
TIVIO SECURITIES FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII V MASTER;VOTS
V2 PRIME PROPERTIES FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII - RESPONSABILIDADE LIMITADA;FII V2 PRIME;VPPR
FUNDO DE INVESTIMENTO IMOBILI¡RIO POLO SHOPPING INDAIATUBA - RESPONSABILIDADE LIMITADA;FII POLO SHO;VPSI
FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO;FII FATOR VE;VRTA
FATOR VERIT¿ MULTIESTRAT…GIA FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII VRTM;VRTM
FUNDO DE INVESTIMENTO IMOBILI¡RIO VOTORANTIM SHOPPING;FII VOT SHOP;VSHO
VERSALHES RECEBÕVEIS IMOBILI¡RIOS FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII VERS CRI;VSLH
FUNDO DE INVESTIMENTO IMOBILI¡RIO VOTORANTIM LOGÕSTICA RESPONSABILIDADE LIMITADA;FII VOT LOG;VTLT
FUNDO DE INVESTIMENTO IMOBILI¡RIO PATRIMONIAL V RESPONSABILIDADE LIMITADA;FII VOTP V;VTPA
FUNDO DE INVESTIMENTO IMOBILI¡RIO PLUS RESPONSABILIDADE LIMITADA;FII PLUS;VTPL
PARKING PARTNERS FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII - RESP LIMITADA;FII PARK PAR;VTVI
V2 EDIFÕCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII V2EDCORP;VVCO
V2 RECEBÕVEIS IMOBILI¡RIOS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII V2 RECE;VVCR
V2 MULTI RENDA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII MULT REN;VVMR
V2 RENDA IMOBILI¡RIA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII V2 RENDA;VVRI
GENESIS MULTIESTRAT…GIA FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII -  RESPONSABILIDADE LIMITADA;FII VX XVI;VXXV
WHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII RESPONSABILIDADE LIMITADA;FII WHG REAL;WHGR
SHOPPING WEST PLAZA FUNDO DE INVESTIMENTO IMOBILIARIO DE RESPONSABILIDADE LIMITADA;FII W PLAZA;WPLZ
FUNDO DE INVESTIMENTO IMOBILI¡RIO OURINVEST RE I - RESPONSABILIDADE LIMITADA;FII WTC SP;WTSP
XLPR FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII - RESPONSABILIDADE LIMITADA;FII XLPR RI;XLPR
XP CR…DITO IMOBILI¡RIO - FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII XP CRED;XPCI
XP CORPORATE MACA… FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII XP MACAE;XPCM
XP INDUSTRIAL FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII XP INDL;XPIN
XP LOG FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA - FII;FII XP LOG;XPLG
XP MALLS FUNDO DE INVESTIMENTO IMOBILI¡RIO FII;FII XP MALLS;XPML
FUNDO DE INVESTIMENTO IMOBILI¡RIO XP PRIVATE EQUITY REAL ESTATE - FEEDER;FII XPRE;XPRE
XP SELECTION FUNDO DE FUNDOS DE INVESTIMENTO IMOBILI¡RIO - FII;FII XP SELEC;XPSF
HEDGE YEES HABITA«’ES ECON‘MICAS FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII YEES;YEES
YUCA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII YUCA;YUFI
ZAGROS MULTIESTRAT…GIA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII ZAGH;ZAGH
ZAVIT CR…DITO IMOBILI¡RIO FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII ZAVIT C;ZAVC
ZAVIT REAL ESTATE FUND - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII ZAVIT R;ZAVI
ZION CAPITAL FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII RESPONSABILIDADE LIMITADA;FII ZION;ZIFI
