Raz„o Social;Fundo;CÛdigo
BRIO REAL ESTATE II - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII BRIO II;BRIM
BRIO REAL ESTATE III - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII BRIO III;BRIP
BRPR CORPORATE OFFICES FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII BROF;BROF
BR7 SENADO FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII BR7 SENA;BRSE
FUNDO DE INVESTIMENTOS IMOBILI¡RIOS DE PERMUTA FINANCEIRA LOTE5 (SENIOR) RESPONSABILIDADE LIMITADA;FII BSLT;BSLT
BTG PACTUAL AGRO LOGÕSTICA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII BTG AGRO;BTAL
BTG PACTUAL CR…DITO IMOBILI¡RIO - FUNDO DE CRI - FI IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII BTG CRI;BTCI
BTG PACTUAL REAL ESTATE HEDGE FUND FII - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII BTHF;BTHF
BTG HOT…IS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;BTG HOTEL FI;BTHI
BTG HOSPITALIDADE RETORNO TOTAL FUNDO DE INVESTIMENTO IMOBILI¡RIO  RESPONSABILIDADE LIMITADA;FII BTHR;BTHR
BTG PACTUAL LOGÕSTICA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII BTLG;BTLG
BARRA MALLS FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII BR MALLS;BTML
BTSP I FUNDO DE INVESTIMENTO IMOBILI¡RIO FII RESPONSABILIDADE LIMITADA;FII BTSP I;BTSG
BTSP II FUNDO DE INVESTIMENTO IMOBILI¡RIO FII RESPONSABILIDADE LIMITADA;FII BTSP II;BTSI
BTOWERS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII BTOWERS;BTWR
BTG PACTUAL YOU INC. DESENVOLVIMENTO IMOBILI¡RIO - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDAD;FII BTYU;BTYU
BRASIL VAREJO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII B VAREJO;BVAR
BARZEL CD1 FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA;FII BARZEL;BZEL
CARTESIA RECEBÕVEIS IMOBILI¡RIOS - FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;CARTESIA FII;CACR
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII RESP LIMITADA;FII DEA CARE;CARE
CASTELLO BRANCO OFFICE PARK - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII CBOP PAX;CBOP
CANUMA CAPITAL MULTIESTRAT…GIA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII CANUMA;CCME
CANUMA CAPITAL RENDA VAREJO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII CCVA;CCVA
CENTRAL REAL ESTATE HIGH YIELD DEBT FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII CDHY;CDHY
BALTIMORE FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII CEBB;CEBB
